OldValue|NewValue
connectionManagerID="Package.ConnectionManagers[WWI_DW_Destination_DB]"|connectionManagerID="{42F53DC6-3078-48C6-9B38-8E2E88CA06E3}:external"
connectionManagerRefId="Package.ConnectionManagers[WWI_DW_Destination_DB]"|connectionManagerRefId="Project.ConnectionManagers[WideWorldImportersDW.OLEDB]"
connectionManagerID="Package.ConnectionManagers[WWI_Source_DB]"|connectionManagerID="{65ACE9FF-9E74-427F-B48C-9F3506CF5288}:external"
connectionManagerRefId="Package.ConnectionManagers[WWI_Source_DB]"|connectionManagerRefId="Project.ConnectionManagers[WideWorldImporters.OLEDB]"
SQLTask:Connection="{2D3E845F-AC8B-4436-826A-B5BFFCA5E450}"|SQLTask:Connection="{42F53DC6-3078-48C6-9B38-8E2E88CA06E3}"
SQLTask:Connection="{C7E809AE-8098-4194-BC30-3EC38E9B61BD}"|SQLTask:Connection="{42F53DC6-3078-48C6-9B38-8E2E88CA06E3}"
SQLTask:Connection="{6129EB48-EF4B-4883-AE75-1F90E4031A76}"|SQLTask:Connection="{42F53DC6-3078-48C6-9B38-8E2E88CA06E3}"
SQLTask:Connection="{15398770-6C0E-40F9-9A2A-08EA24B56BF3}"|SQLTask:Connection="{42F53DC6-3078-48C6-9B38-8E2E88CA06E3}"
SQLTask:Connection="{D55B1940-66EB-402B-A018-E84FE2E34CDB}"|SQLTask:Connection="{42F53DC6-3078-48C6-9B38-8E2E88CA06E3}"
SQLTask:Connection="{363503C8-89C2-437A-A4D0-795B2C10B6B7}"|SQLTask:Connection="{42F53DC6-3078-48C6-9B38-8E2E88CA06E3}"
SQLTask:Connection="{52239AC1-5386-4C57-895B-ACE55E2D6E9B}"|SQLTask:Connection="{42F53DC6-3078-48C6-9B38-8E2E88CA06E3}"
SQLTask:Connection="{B308FBD2-C9AF-4C8A-AB06-D2A618196858}"|SQLTask:Connection="{42F53DC6-3078-48C6-9B38-8E2E88CA06E3}"
SQLTask:Connection="{99484572-A9EB-438C-AC9E-EAEE51C0D2FE}"|SQLTask:Connection="{42F53DC6-3078-48C6-9B38-8E2E88CA06E3}"
SQLTask:Connection="{62783E82-7FBB-4AFA-A748-D333BAD2EB48}"|SQLTask:Connection="{42F53DC6-3078-48C6-9B38-8E2E88CA06E3}"
SQLTask:Connection="{E5852CEB-FE86-4256-A74E-FA2030FBF044}"|SQLTask:Connection="{42F53DC6-3078-48C6-9B38-8E2E88CA06E3}"
SQLTask:Connection="{F3751252-FBEF-43E8-A5AC-BC8C3C6609CE}"|SQLTask:Connection="{42F53DC6-3078-48C6-9B38-8E2E88CA06E3}"
SQLTask:Connection="{11D7553C-A5C4-4BF5-B8DD-3DA13CCFC6E4}"|SQLTask:Connection="{42F53DC6-3078-48C6-9B38-8E2E88CA06E3}"
